"userName","numberOfTweets","url"
"2ado",23,"https://twitter.com/2ado"
"sunnymshah",23,"https://twitter.com/sunnymshah"
"NiklasLyng",23,"https://twitter.com/NiklasLyng"
"BRIDGEi2i",23,"https://twitter.com/BRIDGEi2i"
"13ashishkaul",23,"https://twitter.com/13ashishkaul"
"magnuscollin",23,"https://twitter.com/magnuscollin"
"johanlangenberg",23,"https://twitter.com/johanlangenberg"
"KeeshanPillay",23,"https://twitter.com/KeeshanPillay"
"shirojean",23,"https://twitter.com/shirojean"
"mloughlin",23,"https://twitter.com/mloughlin"
"noeliagorod",23,"https://twitter.com/noeliagorod"
"Motasemper",23,"https://twitter.com/Motasemper"
"ukrphysics",23,"https://twitter.com/ukrphysics"
"GetNetonomy",23,"https://twitter.com/GetNetonomy"
"NovaTechCons",23,"https://twitter.com/NovaTechCons"
"BrianVision",22,"https://twitter.com/BrianVision"
"JulianTalbot22",22,"https://twitter.com/JulianTalbot22"
"Cambolc",22,"https://twitter.com/Cambolc"
"Shamayim2",22,"https://twitter.com/Shamayim2"
"botdirectorynet",22,"https://twitter.com/botdirectorynet"
"schroeshirecat",22,"https://twitter.com/schroeshirecat"
"hostingsap",22,"https://twitter.com/hostingsap"
"baski_LA",22,"https://twitter.com/baski_LA"
"GauthamAkkin",22,"https://twitter.com/GauthamAkkin"
"Tarun6989",22,"https://twitter.com/Tarun6989"
"exnav29",22,"https://twitter.com/exnav29"
"TheDataMedia",22,"https://twitter.com/TheDataMedia"
"hello10myth",22,"https://twitter.com/hello10myth"
"hubermantamir",22,"https://twitter.com/hubermantamir"
"MediaCre8ive",22,"https://twitter.com/MediaCre8ive"
"airisliquid",22,"https://twitter.com/airisliquid"
"DanWeb2_0",22,"https://twitter.com/DanWeb2_0"
"TrionData",22,"https://twitter.com/TrionData"
"MichelRegamey",22,"https://twitter.com/MichelRegamey"
"data_reporter",22,"https://twitter.com/data_reporter"
"DrSunnyMalhotra",22,"https://twitter.com/DrSunnyMalhotra"
"celebswiki247",22,"https://twitter.com/celebswiki247"
"Mindseye_TV",22,"https://twitter.com/Mindseye_TV"
"horizon_unseen",22,"https://twitter.com/horizon_unseen"
"TCDahl",22,"https://twitter.com/TCDahl"
"mscavazzin",22,"https://twitter.com/mscavazzin"
"intelpsolutions",22,"https://twitter.com/intelpsolutions"
"MyFractionalCIO",22,"https://twitter.com/MyFractionalCIO"
"neilmence",22,"https://twitter.com/neilmence"
"marcopizzo",22,"https://twitter.com/marcopizzo"
"MarkoPolojarvi",22,"https://twitter.com/MarkoPolojarvi"
"MaestriH2020",22,"https://twitter.com/MaestriH2020"
"koreananotech",22,"https://twitter.com/koreananotech"
"RacingScotland",22,"https://twitter.com/RacingScotland"
"NexoInc",22,"https://twitter.com/NexoInc"
"channelinside",22,"https://twitter.com/channelinside"
"ITOL",22,"https://twitter.com/ITOL"
"DrMattRoach",22,"https://twitter.com/DrMattRoach"
"studentforce",22,"https://twitter.com/studentforce"
"jselanikio",22,"https://twitter.com/jselanikio"
"dailyxyz",22,"https://twitter.com/dailyxyz"
"yst13",22,"https://twitter.com/yst13"
"nscibetta",22,"https://twitter.com/nscibetta"
"holmhelgesen",22,"https://twitter.com/holmhelgesen"
"grubori",22,"https://twitter.com/grubori"
"BronwynOrsatti",22,"https://twitter.com/BronwynOrsatti"
"PolinaVeltmann",22,"https://twitter.com/PolinaVeltmann"
"thepalmapp",21,"https://twitter.com/thepalmapp"
"teamrampantlion",21,"https://twitter.com/teamrampantlion"
"ChrisSpahnADP",21,"https://twitter.com/ChrisSpahnADP"
"Data_insider",21,"https://twitter.com/Data_insider"
"sami_saied",21,"https://twitter.com/sami_saied"
"GeorgeLeff",21,"https://twitter.com/GeorgeLeff"
"adamson",21,"https://twitter.com/adamson"
"analucia_B2B",21,"https://twitter.com/analucia_B2B"
"plancet",21,"https://twitter.com/plancet"
"Anantasak",21,"https://twitter.com/Anantasak"
"PAY_Symposium",21,"https://twitter.com/PAY_Symposium"
"KevinBland",21,"https://twitter.com/KevinBland"
"EthicalBAU",21,"https://twitter.com/EthicalBAU"
"plus530",21,"https://twitter.com/plus530"
