userName,numberOfTweets,url,isOrg,
pm_girl,24,https://twitter.com/pm_girl,0,
Rom_Duck,24,https://twitter.com/Rom_Duck,0,
EskilCo,24,https://twitter.com/EskilCo,1,
dcapuan0,24,https://twitter.com/dcapuan0,0,
BillyBotClerk,23,https://twitter.com/BillyBotClerk,1,
AudioLabHI,23,https://twitter.com/AudioLabHI,1,
pmalik1,23,https://twitter.com/pmalik1,0,
aiticker,23,https://twitter.com/aiticker,1,
akhiphotography,23,https://twitter.com/akhiphotography,0,
nkmalani,23,https://twitter.com/nkmalani,0,
GRLSTEM,23,https://twitter.com/GRLSTEM,0,
ARNE_Solutions,23,https://twitter.com/ARNE_Solutions,1,
viniciusalmeida,23,https://twitter.com/viniciusalmeida,0,
dimitrakont,23,https://twitter.com/dimitrakont,0,
gonbee,23,https://twitter.com/gonbee,0,
calomas,23,https://twitter.com/calomas,0,
AI4Enterprise,23,https://twitter.com/AI4Enterprise,1,
mmmgaber,23,https://twitter.com/mmmgaber,0,
KomuraTakuro,23,https://twitter.com/KomuraTakuro,0,
flvventurini,23,https://twitter.com/flvventurini,0,
diggernautcom,23,https://twitter.com/diggernautcom,1,
stockfjm,23,https://twitter.com/stockfjm,0,
DT,23,https://twitter.com/DT,0,
CN20,23,https://twitter.com/CN20,0,
DanyDeGrave,23,https://twitter.com/DanyDeGrave,0,
CircleBackInc,23,https://twitter.com/CircleBackInc,1,
rinkidhiman771,23,https://twitter.com/rinkidhiman771,0,
d_jackals,23,https://twitter.com/d_jackals,0,
KLlewellin,23,https://twitter.com/KLlewellin,0,
forwardsprint,23,https://twitter.com/forwardsprint,1,
AB_Joseph,23,https://twitter.com/AB_Joseph,0,
Panzerfrank,23,https://twitter.com/Panzerfrank,0,
FreshThinkingfo,23,https://twitter.com/FreshThinkingfo,1,
zeitenwende007,23,https://twitter.com/zeitenwende007,0,
runnerrobs,23,https://twitter.com/runnerrobs,0,
TheAnonBuzz,23,https://twitter.com/TheAnonBuzz,0,
rodrigo_blogs,23,https://twitter.com/rodrigo_blogs,0,
GamatechGroup,23,https://twitter.com/GamatechGroup,1,
basementlab_dk,23,https://twitter.com/basementlab_dk,0,
AlexanderSchir1,23,https://twitter.com/AlexanderSchir1,0,
cafrancavilla,23,https://twitter.com/cafrancavilla,0,
sudhanshu9655,23,https://twitter.com/sudhanshu9655,0,
VacoSeattle,23,https://twitter.com/VacoSeattle,1,
jpblog_techno,23,https://twitter.com/jpblog_techno,0,
shannonjohlic,23,https://twitter.com/shannonjohlic,0,
pkokki,23,https://twitter.com/pkokki,0,
futuristpaul,23,https://twitter.com/futuristpaul,0,
dinisguarda,23,https://twitter.com/dinisguarda,0,
redsand74,23,https://twitter.com/redsand74,0,
TechProGeek,23,https://twitter.com/TechProGeek,0,
PekkaPuhakka,23,https://twitter.com/PekkaPuhakka,0,
robertconnely,23,https://twitter.com/robertconnely,0,
BigDataDaily,23,https://twitter.com/BigDataDaily,0,
2ado,23,https://twitter.com/2ado,0,
sunnymshah,23,https://twitter.com/sunnymshah,0,
NiklasLyng,23,https://twitter.com/NiklasLyng,0,
BRIDGEi2i,23,https://twitter.com/BRIDGEi2i,1,
13ashishkaul,23,https://twitter.com/13ashishkaul,0,
magnuscollin,23,https://twitter.com/magnuscollin,0,
johanlangenberg,23,https://twitter.com/johanlangenberg,0,
KeeshanPillay,23,https://twitter.com/KeeshanPillay,0,
shirojean,23,https://twitter.com/shirojean,0,
mloughlin,23,https://twitter.com/mloughlin,0,
noeliagorod,23,https://twitter.com/noeliagorod,0,
Motasemper,23,https://twitter.com/Motasemper,0,
ukrphysics,23,https://twitter.com/ukrphysics,0,
GetNetonomy,23,https://twitter.com/GetNetonomy,1,
NovaTechCons,23,https://twitter.com/NovaTechCons,1,
BrianVision,22,https://twitter.com/BrianVision,0,
JulianTalbot22,22,https://twitter.com/JulianTalbot22,0,
Cambolc,22,https://twitter.com/Cambolc,0,
Shamayim2,22,https://twitter.com/Shamayim2,0,
botdirectorynet,22,https://twitter.com/botdirectorynet,0,
schroeshirecat,22,https://twitter.com/schroeshirecat,0,
hostingsap,22,https://twitter.com/hostingsap,1,
baski_LA,22,https://twitter.com/baski_LA,0,
GauthamAkkin,22,https://twitter.com/GauthamAkkin,0,
Tarun6989,22,https://twitter.com/Tarun6989,0,
exnav29,22,https://twitter.com/exnav29,0,
TheDataMedia,22,https://twitter.com/TheDataMedia,1,
hello10myth,22,https://twitter.com/hello10myth,1,
hubermantamir,22,https://twitter.com/hubermantamir,0,
MediaCre8ive,22,https://twitter.com/MediaCre8ive,0,
airisliquid,22,https://twitter.com/airisliquid,0,
DanWeb2_0,22,https://twitter.com/DanWeb2_0,0,
TrionData,22,https://twitter.com/TrionData,1,
MichelRegamey,22,https://twitter.com/MichelRegamey,0,
data_reporter,22,https://twitter.com/data_reporter,0,
DrSunnyMalhotra,22,https://twitter.com/DrSunnyMalhotra,0,
celebswiki247,22,https://twitter.com/celebswiki247,0,
Mindseye_TV,22,https://twitter.com/Mindseye_TV,1,
horizon_unseen,22,https://twitter.com/horizon_unseen,0,
TCDahl,22,https://twitter.com/TCDahl,0,
mscavazzin,22,https://twitter.com/mscavazzin,0,
intelpsolutions,22,https://twitter.com/intelpsolutions,1,
MyFractionalCIO,22,https://twitter.com/MyFractionalCIO,1,
neilmence,22,https://twitter.com/neilmence,0,
marcopizzo,22,https://twitter.com/marcopizzo,0,
MarkoPolojarvi,22,https://twitter.com/MarkoPolojarvi,0,
MaestriH2020,22,https://twitter.com/MaestriH2020,1,
koreananotech,22,https://twitter.com/koreananotech,0,
RacingScotland,22,https://twitter.com/RacingScotland,0,
NexoInc,22,https://twitter.com/NexoInc,1,
channelinside,22,https://twitter.com/channelinside,1,
ITOL,22,https://twitter.com/ITOL,1,
DrMattRoach,22,https://twitter.com/DrMattRoach,0,
studentforce,22,https://twitter.com/studentforce,1,
jselanikio,22,https://twitter.com/jselanikio,0,
dailyxyz,22,https://twitter.com/dailyxyz,0,
yst13,22,https://twitter.com/yst13,0,
nscibetta,22,https://twitter.com/nscibetta,0,
holmhelgesen,22,https://twitter.com/holmhelgesen,0,
grubori,22,https://twitter.com/grubori,0,
BronwynOrsatti,22,https://twitter.com/BronwynOrsatti,0,
PolinaVeltmann,22,https://twitter.com/PolinaVeltmann,0,
thepalmapp,21,https://twitter.com/thepalmapp,1,
teamrampantlion,21,https://twitter.com/teamrampantlion,0,
ChrisSpahnADP,21,https://twitter.com/ChrisSpahnADP,0,
Data_insider,21,https://twitter.com/Data_insider,1,
sami_saied,21,https://twitter.com/sami_saied,0,
GeorgeLeff,21,https://twitter.com/GeorgeLeff,0,
adamson,21,https://twitter.com/adamson,0,
analucia_B2B,21,https://twitter.com/analucia_B2B,0,
plancet,21,https://twitter.com/plancet,0,
Anantasak,21,https://twitter.com/Anantasak,0,
PAY_Symposium,21,https://twitter.com/PAY_Symposium,1,
KevinBland,21,https://twitter.com/KevinBland,0,
EthicalBAU,21,https://twitter.com/EthicalBAU,0,
plus530,21,https://twitter.com/plus530,0,
mialomo,21,https://twitter.com/mialomo,0,
pasalapudi,21,https://twitter.com/pasalapudi,0,
pareshgupta007,21,https://twitter.com/pareshgupta007,0,
IlluminatusTech,21,https://twitter.com/IlluminatusTech,1,
InfoProNetwork,21,https://twitter.com/InfoProNetwork,1,
THInsight1,21,https://twitter.com/THInsight1,1,
HCInnovateScout,21,https://twitter.com/HCInnovateScout,0,
daunt0522,21,https://twitter.com/daunt0522,0,
360fashion,21,https://twitter.com/360fashion,1,
spyseeromero,21,https://twitter.com/spyseeromero,0,
Iconjurer,21,https://twitter.com/Iconjurer,0,
DroneNewsAgency,21,https://twitter.com/DroneNewsAgency,1,
itfdetectives,21,https://twitter.com/itfdetectives,1,
Jayesh_Ahire1,21,https://twitter.com/Jayesh_Ahire1,0,
DanielleFWatson,21,https://twitter.com/DanielleFWatson,0,
digilowcost,21,https://twitter.com/digilowcost,1,
imoyse,21,https://twitter.com/imoyse,0,
battlefinmiami,21,https://twitter.com/battlefinmiami,1,
ThomasWetzou,21,https://twitter.com/ThomasWetzou,0,
TheIoTGuy,21,https://twitter.com/TheIoTGuy,0,
raswak,21,https://twitter.com/raswak,0,
kathanvyas,21,https://twitter.com/kathanvyas,0,
ChrisJVersace,21,https://twitter.com/ChrisJVersace,0,
andrejbr,21,https://twitter.com/andrejbr,0,
CaterhamNST,21,https://twitter.com/CaterhamNST,1,
daveuk4,21,https://twitter.com/daveuk4,0,
marianbyte,21,https://twitter.com/marianbyte,0,
PebbleInWaters,21,https://twitter.com/PebbleInWaters,0,
pdesperrier,21,https://twitter.com/pdesperrier,0,
plagiatcoin,21,https://twitter.com/plagiatcoin,0,
4magics,21,https://twitter.com/4magics,0,
Phil_Comtek,21,https://twitter.com/Phil_Comtek,0,
anadotchat,21,https://twitter.com/anadotchat,1,
DoITwithData,21,https://twitter.com/DoITwithData,1,
Hal_Good,21,https://twitter.com/Hal_Good,0,
cgerth,21,https://twitter.com/cgerth,0,
robotusername1,21,https://twitter.com/robotusername1,0,
ExpressBloem,21,https://twitter.com/ExpressBloem,1,
rubenroa,21,https://twitter.com/rubenroa,0,
SkunqIA,21,https://twitter.com/SkunqIA,1,
KudzaiButau,21,https://twitter.com/KudzaiButau,0,
stewartirvine8,21,https://twitter.com/stewartirvine8,0,
SamKitots,21,https://twitter.com/SamKitots,0,
BigDataGal,21,https://twitter.com/BigDataGal,0,
SecureIndiaTeam,21,https://twitter.com/SecureIndiaTeam,0,
MMinevich,21,https://twitter.com/MMinevich,0,
BolaBLG,21,https://twitter.com/BolaBLG,0,
KyleReport,21,https://twitter.com/KyleReport,0,
Aava_Heikkinen,21,https://twitter.com/Aava_Heikkinen,0,
Necio_news,21,https://twitter.com/Necio_news,1,
zetaraffix,21,https://twitter.com/zetaraffix,0,
jonneiditz,21,https://twitter.com/jonneiditz,0,
Dr_ZOrtiz,21,https://twitter.com/Dr_ZOrtiz,0,
kikilo,21,https://twitter.com/kikilo,0,
AlecSocial,21,https://twitter.com/AlecSocial,0,
UnemyrMagnus,20,https://twitter.com/UnemyrMagnus,0,
davidreitman,20,https://twitter.com/davidreitman,0,
iambbaker,20,https://twitter.com/iambbaker,0,
OmPrakashRanja1,20,https://twitter.com/OmPrakashRanja1,0,
hansolo_,20,https://twitter.com/hansolo_,0,
BernieRitchey,20,https://twitter.com/BernieRitchey,0,
BldgClouds,20,https://twitter.com/BldgClouds,1,
SftwreLogistics,20,https://twitter.com/SftwreLogistics,1,
hfjm,20,https://twitter.com/hfjm,0,
swarnajyoti,20,https://twitter.com/swarnajyoti,0,
thibetian,20,https://twitter.com/thibetian,0,
BetsyBosnak,20,https://twitter.com/BetsyBosnak,0,
ArtuData,20,https://twitter.com/ArtuData,1,
luisella,20,https://twitter.com/luisella,0,
cloudastructure,20,https://twitter.com/cloudastructure,1,
hsianghui,20,https://twitter.com/hsianghui,0,
rogben,20,https://twitter.com/rogben,0,
AvatarNemo,20,https://twitter.com/AvatarNemo,0,
kjuman,20,https://twitter.com/kjuman,0,
advisor_info,20,https://twitter.com/advisor_info,0,
chintancshah,20,https://twitter.com/chintancshah,0,
albarich11,20,https://twitter.com/albarich11,0,
carlosf0527,20,https://twitter.com/carlosf0527,0,
hbrofman,20,https://twitter.com/hbrofman,0,
gajjala_praveen,20,https://twitter.com/gajjala_praveen,0,
RodrigoLobos,20,https://twitter.com/RodrigoLobos,0,
robinyearsley,20,https://twitter.com/robinyearsley,0,
stickyfx,20,https://twitter.com/stickyfx,1,
gridenko,20,https://twitter.com/gridenko,0,
sgtgary,20,https://twitter.com/sgtgary,0,
ineedmygadgetss,20,https://twitter.com/ineedmygadgetss,1,
FanaticsMark,20,https://twitter.com/FanaticsMark,0,
Clement_MENGUE,20,https://twitter.com/Clement_MENGUE,0,
VillamizarITPro,20,https://twitter.com/VillamizarITPro,0,
ukaino,20,https://twitter.com/ukaino,0,
AstegicInc,20,https://twitter.com/AstegicInc,1,
haeyceni,20,https://twitter.com/haeyceni,0,
barticasun,20,https://twitter.com/barticasun,0,
timcrammer,20,https://twitter.com/timcrammer,0,
FirstNightArt,20,https://twitter.com/FirstNightArt,0,
Ritmonegro,20,https://twitter.com/Ritmonegro,0,
FutureHighSt,20,https://twitter.com/FutureHighSt,0,
___chrispie___,20,https://twitter.com/___chrispie___,0,
lozanojavier,20,https://twitter.com/lozanojavier,0,
CX_Talks,20,https://twitter.com/CX_Talks,0,
ialwaysgreat,20,https://twitter.com/ialwaysgreat,0,
digitivy,20,https://twitter.com/digitivy,1,
Tommyew,20,https://twitter.com/Tommyew,0,
AIEverything1,20,https://twitter.com/AIEverything1,0,
hanen105,20,https://twitter.com/hanen105,0,
patrickhealy,20,https://twitter.com/patrickhealy,0,
mariandragt,20,https://twitter.com/mariandragt,0,
vcdave,20,https://twitter.com/vcdave,0,
businessofgreen,20,https://twitter.com/businessofgreen,1,
vakulkumarmore,20,https://twitter.com/vakulkumarmore,0,
ecareplan,20,https://twitter.com/ecareplan,1,
sdxtech,20,https://twitter.com/sdxtech,1,
mridgwayjones,20,https://twitter.com/mridgwayjones,0,
EatAllThe,20,https://twitter.com/EatAllThe,0,
neiljpearce,20,https://twitter.com/neiljpearce,0,
CBDnewME,20,https://twitter.com/CBDnewME,1,
